time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
2021-06-02,36694.37,38232.99,35905.0,37569.99,441719.806,2021-06-02,16479965808.26946,4080217,223993.314,8358143926.28754,0
2021-06-03,37570.0,39470.0,37150.15,39247.4,507429.005,2021-06-03,19590443294.67527,4505482,254932.483,9843247414.77212,0
2021-06-04,39247.4,39297.35,35552.51,36828.03,700625.866,2021-06-04,25922946606.60956,6025185,345357.923,12774740375.75271,0
2021-06-05,36828.03,37900.49,34800.0,35498.62,631028.448,2021-06-05,22946553087.06278,5611429,314764.238,11449282806.42592,0
2021-06-06,35497.93,36521.16,35201.86,35801.71,443601.064,2021-06-06,15937978040.90477,3944742,223278.007,8024370238.93679,0
2021-06-07,35801.71,36820.0,33200.0,33550.96,636735.873,2021-06-07,22666564580.47221,5458401,310818.01,11073658295.09303,0
2021-06-08,33550.97,34061.57,30969.0,33372.58,976693.026,2021-06-08,31912200461.05386,8000201,498099.819,16278416362.2809,0
2021-06-09,33372.58,37511.31,32390.0,37368.45,1031014.087,2021-06-09,36050659489.10996,8470399,537306.363,18796151375.77446,0
2021-06-10,37369.99,38489.0,35750.0,36669.66,803185.699,2021-06-10,29775084407.93657,6960056,404579.353,15001513325.93235,0
2021-06-11,36669.65,37679.54,35900.0,37300.42,586122.898,2021-06-11,21668792470.73891,5557717,295845.744,10939750582.11919,0
2021-06-12,37300.41,37432.95,34585.9,35537.05,623532.476,2021-06-12,22229082760.92563,5782385,309751.368,11043722494.43351,0
2021-06-13,35535.95,39374.18,34739.06,38993.65,647035.314,2021-06-13,23729185499.53586,6085040,337261.471,12374577556.53247,0
2021-06-14,38993.66,41000.0,38720.0,40489.1,704979.881,2021-06-14,28043323953.58158,6811137,355119.315,14128754783.28046,0
2021-06-15,40489.1,41413.0,39500.0,40132.86,632066.994,2021-06-15,25426404028.57427,5854306,314409.675,12650483167.50543,0
2021-06-16,40132.86,40495.0,38105.0,38344.97,673235.496,2021-06-16,26431149487.44754,6317711,331713.202,13025303413.01145,0
2021-06-17,38344.97,39565.0,37334.76,38060.71,603849.861,2021-06-17,23274089670.0265,5362882,295854.255,11406245614.85416,0
2021-06-18,38060.71,38198.0,35100.0,35811.41,790379.249,2021-06-18,29108720481.11914,6722621,384890.019,14175092156.81465,0
2021-06-19,35811.41,36471.8,34704.08,35483.0,642185.382,2021-06-19,22933053073.80613,5504522,325285.229,11619914713.00306,0
2021-06-20,35483.01,36155.0,33312.0,35588.64,829896.441,2021-06-20,28839255734.67477,6811270,414731.625,14413500146.30341,0
2021-06-21,35588.63,35746.28,31250.51,31606.0,1397330.662,2021-06-21,45999742162.57469,11529993,695656.128,22900777630.75992,0
2021-06-22,31606.0,33274.0,28780.01,32496.0,1531824.85,2021-06-22,48118035155.63216,12592839,777675.178,24441934051.07848,0
2021-06-23,32496.0,34867.77,31711.5,33649.0,960700.369,2021-06-23,32385728391.32214,8005763,485348.455,16366636856.60897,0
2021-06-24,33650.0,35406.74,32300.0,34644.64,774899.165,2021-06-24,26142284529.30551,6393985,394437.794,13312586655.91992,0
2021-06-25,34644.65,35500.0,31250.0,31568.07,1093051.375,2021-06-25,36220815800.34415,8575198,541149.203,17936513486.82303,0
2021-06-26,31569.18,32720.52,30120.0,32255.56,1091384.749,2021-06-26,34169368151.21496,8830795,557734.296,17466170545.4379,0
2021-06-27,32250.15,34762.0,31960.0,34687.71,897147.453,2021-06-27,29675701648.44259,7266511,454619.868,15045295595.19429,0
2021-06-28,34687.71,35279.38,33855.0,34487.22,706158.545,2021-06-28,24347802821.64672,6016466,355069.274,12246040828.13715,0
2021-06-29,34486.58,36623.0,34206.0,35911.26,806140.329,2021-06-29,28651151982.42255,6564763,409013.437,14537250410.0221,0
2021-06-30,35910.64,36089.96,34042.74,35031.39,719742.983,2021-06-30,25089717253.91246,5747819,356802.679,12438366589.28018,0
2021-07-01,35031.39,35044.98,32672.04,33489.96,758966.493,2021-07-01,25510026886.15879,5725261,375106.718,12606410327.93259,0
2021-07-02,33489.96,33960.0,32684.0,33760.94,664923.202,2021-07-02,22117194903.82862,5408686,340677.815,11334703899.01985,0
2021-07-03,33760.94,34948.16,33296.98,34652.94,510614.258,2021-07-03,17523073397.64332,3994573,260819.897,8950980444.32045,0
2021-07-04,34653.32,35955.55,34340.75,35280.16,451001.556,2021-07-04,15913944818.06252,3486378,226888.582,8006374310.35749,0
2021-07-05,35280.17,35281.55,33032.0,33672.72,736706.409,2021-07-05,25080538853.9889,5192876,360470.052,12271202611.23374,0
2021-07-06,33672.72,35120.0,33500.0,34206.01,644229.007,2021-07-06,22007603921.1366,5169120,322753.561,11027629244.3437,0
2021-07-07,34206.0,35089.56,33756.48,33845.64,456218.909,2021-07-07,15756590092.29847,4023843,227742.653,7867728707.26984,0
2021-07-08,33845.63,33910.0,32066.0,32852.04,650317.664,2021-07-08,21360817082.62111,5260499,323160.995,10615570597.9929,0
2021-07-09,32855.0,34100.0,32250.0,33805.01,485662.879,2021-07-09,16088319381.03029,4150223,250884.926,8312998964.20329,0
2021-07-10,33805.01,34248.58,33010.0,33497.98,410271.979,2021-07-10,13822726226.60229,3501607,204915.729,6906014551.50074,0
2021-07-11,33497.98,34629.62,33306.03,34253.81,343905.35,2021-07-11,11640701255.89198,3000523,176940.803,5990846866.86341,0
2021-07-12,34253.88,34662.73,32650.0,33070.87,502747.758,2021-07-12,16891641370.32395,4018132,245962.609,8265506238.32986,0
2021-07-13,33070.86,33336.0,32186.99,32709.09,466567.713,2021-07-13,15294563607.10545,3656943,234107.388,7675802680.57234,0
2021-07-14,32708.66,33176.47,31556.02,32803.01,521140.41,2021-07-14,16871855472.03737,4012431,262021.05,8485513802.58707,0
2021-07-15,32803.0,33170.0,31140.0,31866.43,539111.667,2021-07-15,17249306209.93983,4036910,263010.043,8416797835.08934,0
2021-07-16,31865.53,32245.0,31018.59,31382.95,516577.743,2021-07-16,16377889184.44778,3914018,262402.614,8320877289.58821,0
2021-07-17,31382.96,31945.0,31150.02,31496.65,422650.418,2021-07-17,13327067038.85016,3259417,215057.568,6782243444.37977,0
2021-07-18,31496.65,32435.93,31075.1,31767.0,412189.401,2021-07-18,13084053080.66186,3159782,206750.025,6564247416.45307,0
2021-07-19,31765.23,31890.0,30358.77,30823.62,486305.627,2021-07-19,15114690213.58257,3696993,239872.092,7457837382.74176,0
2021-07-20,30823.62,31050.0,29242.24,29775.9,602688.19,2021-07-20,17961608394.43468,4318098,300341.487,8950176484.83061,0
2021-07-21,29775.89,32883.9,29472.41,32120.0,787077.39,2021-07-21,24708991011.44716,5398212,408430.273,12814699908.94617,0
2021-07-22,32120.0,32583.48,31700.0,32268.11,397258.936,2021-07-22,12754500028.76495,3291672,200967.505,6453550589.50494,0
2021-07-23,32268.12,33650.0,31970.82,33634.46,404650.016,2021-07-23,13173247545.9248,3284595,209327.397,6819041424.33657,0
2021-07-24,33631.74,34471.0,33379.81,34230.0,376046.028,2021-07-24,12732082908.68063,3121090,190979.219,6467135429.17749,0
2021-07-25,34230.0,35400.0,33812.0,35370.66,404114.844,2021-07-25,13893942170.58207,3362822,207376.594,7134453269.4537,0
2021-07-26,35370.67,48168.6,35185.49,37218.09,1162332.857,2021-07-26,44475672628.66526,9156876,586176.914,22425600825.52282,0
2021-07-27,37218.09,39546.34,36384.31,39442.33,675104.157,2021-07-27,25492243891.00927,5881831,340143.342,12848462227.13766,0
2021-07-28,39448.06,40894.0,38753.0,40003.08,736196.234,2021-07-28,29337785847.17598,6959669,365704.726,14579463697.26577,0
2021-07-29,40003.08,40665.0,39203.83,40012.9,463917.872,2021-07-29,18494873369.9317,4559744,233268.288,9302179707.59268,0
2021-07-30,40012.89,42316.6,38320.0,42203.25,561474.309,2021-07-30,22382077430.50685,5291572,284487.227,11351258183.49808,0
2021-07-31,42202.6,42494.0,41030.19,41448.11,381521.899,2021-07-31,15885174209.01891,3846882,186824.054,7779977716.89137,0
2021-08-01,41448.1,42614.98,39350.4,39846.78,487529.044,2021-08-01,20123271133.84008,4662543,237744.158,9821130502.65732,0
2021-08-02,39846.78,40450.0,38658.0,39147.48,451872.128,2021-08-02,17868768676.14336,4318497,222510.659,8801433868.58386,0
2021-08-03,39147.47,39774.93,37600.0,38203.26,517219.517,2021-08-03,19870811472.42814,4801837,254829.126,9792216851.03109,0
2021-08-04,38201.33,39975.32,37500.0,39731.31,479560.473,2021-08-04,18566815767.50786,4413240,240426.769,9310224823.65381,0
2021-08-05,39731.31,41350.0,37291.0,40882.4,746249.712,2021-08-05,29293280083.50881,6512116,371863.38,14601667628.04093,0
2021-08-06,40882.39,43400.0,39849.82,42825.43,653451.154,2021-08-06,27084444322.36515,6108565,331004.461,13721544659.93005,0
2021-08-07,42825.43,44753.01,42395.2,44601.11,583750.891,2021-08-07,25434912724.49232,5973520,295584.445,12883268256.66359,0
2021-08-08,44601.11,45350.0,43265.0,43787.71,553684.698,2021-08-08,24546996022.15984,5639557,276106.656,12243631779.9059,0
2021-08-09,43787.71,46483.0,42785.0,46259.7,626220.503,2021-08-09,28215980001.728,6262199,316796.461,14276727540.04512,0
2021-08-10,46259.7,46800.0,44670.05,45589.99,460478.861,2021-08-10,20993395642.65772,4679043,226898.781,10347321972.82084,0
2021-08-11,45589.99,46754.27,45354.0,45522.12,390660.571,2021-08-11,18016171890.37027,3948283,194652.975,8978680567.4774,0
2021-08-12,45522.13,46226.67,43800.0,44385.09,468276.056,2021-08-12,21002449071.36338,4731727,230524.439,10342004426.97416,0
2021-08-13,44385.09,47980.69,44208.88,47792.52,438025.46,2021-08-13,20268188738.82734,4397367,224999.55,10413063530.06627,0
2021-08-14,47792.52,48300.0,46000.0,47083.74,374368.796,2021-08-14,17592436753.37547,3874327,184208.521,8659821371.3951,0
2021-08-15,47083.75,47388.75,45480.0,47006.02,370950.807,2021-08-15,17184325858.98103,3856811,182320.165,8446265394.7841,0
2021-08-16,47006.02,48074.23,45682.03,45926.23,412537.605,2021-08-16,19341043030.76062,4045954,201112.169,9431523717.39454,0
2021-08-17,45926.23,47194.0,44412.01,44704.84,474316.4,2021-08-17,21777823959.04203,4617189,230091.679,10569169050.4301,0
2021-08-18,44704.85,46050.0,44227.32,44714.09,395836.158,2021-08-18,17865646754.68377,4068589,198145.782,8945317255.97245,0
2021-08-19,44714.09,47100.0,43938.38,46772.0,439402.162,2021-08-19,19883402232.55334,4289786,221338.968,10021661857.69602,0
2021-08-20,46772.0,49500.0,46650.0,49332.74,401499.081,2021-08-20,19242378733.46022,3984145,205499.228,9850869343.91272,0
2021-08-21,49332.99,49833.0,48250.0,48848.29,347594.451,2021-08-21,17049427213.4425,3387346,173433.357,8507712124.16355,0
2021-08-22,48846.11,49556.2,48075.81,49273.28,294672.223,2021-08-22,14395479952.62928,2925925,146268.093,7147255100.99184,0
2021-08-23,49273.28,50600.0,49075.01,49523.91,355733.496,2021-08-23,17745733776.00453,3345792,175956.297,8778713187.66257,0
2021-08-24,49523.23,49888.88,47600.0,47719.36,398682.002,2021-08-24,19450210328.35084,3585585,193775.029,9455239479.13845,0
2021-08-25,47719.37,49297.8,47130.57,48992.65,389100.384,2021-08-25,18737744219.73293,3410366,194689.116,9377561685.95746,0
