time,Open,High,Low,Close,Volume,Quote asset volume,Taker buy volume,Taker buy quote asset volume
2021-01-03,775.04,1022.51,769.19,980.24,9610267.802,8696957087.56834,4657677.769,4214597578.60845
2021-01-04,980.23,1173.94,890.0,1043.11,12057661.067,12280790632.57096,5778764.348,5889966213.22539
2021-01-05,1043.12,1138.92,974.23,1101.29,7526097.093,7963297766.14071,3629331.553,3840921611.10877
2021-01-06,1101.29,1218.0,1057.3,1212.64,6952861.553,7952492225.25109,3321058.126,3800589046.70885
2021-01-07,1212.98,1297.15,1150.0,1227.12,5807791.01,7101050891.0701,2772049.386,3390930251.65891
2021-01-08,1227.5,1279.06,1064.6,1218.39,6994773.234,8338888162.52835,3312616.534,3949768897.76069
2021-01-09,1218.55,1314.0,1173.0,1279.96,4157466.015,5122826054.03456,1987394.9,2450205641.03836
2021-01-10,1279.96,1354.66,1168.49,1257.96,5913298.389,7633413010.30207,2781784.245,3593800626.94579
2021-01-11,1257.95,1264.5,915.2,1086.94,11237262.772,11884458713.94124,5330729.574,5639590221.4675
2021-01-12,1086.84,1153.13,1007.0,1050.82,5531356.605,5979396463.61216,2638374.932,2853269704.49428
2021-01-13,1050.67,1138.63,987.21,1130.4,4029644.646,4284303782.76047,1944010.424,2068348623.5124
2021-01-14,1130.4,1249.32,1087.68,1234.86,4079502.435,4801436186.55306,1960836.392,2308220044.12361
2021-01-15,1234.5,1260.0,1070.0,1168.79,5020898.727,5936014554.3996,2392020.497,2828783904.10233
2021-01-16,1168.65,1296.79,1152.13,1230.19,3980782.071,4882690374.13278,1912825.153,2346394635.14904
2021-01-17,1230.32,1272.28,1165.0,1233.71,3396518.439,4148284417.37915,1651908.247,2018781238.7725
2021-01-18,1233.61,1265.96,1183.2,1262.99,2562805.077,3145780782.70752,1238032.263,1520307506.40987
2021-01-19,1263.0,1444.05,1255.51,1367.51,6288844.344,8661460016.5314,3015469.076,4153264139.37802
2021-01-20,1367.38,1411.38,1236.35,1379.24,5844273.198,7735368865.48017,2787472.651,3691850377.50564
2021-01-21,1379.23,1391.0,1083.4,1111.23,6820207.515,8422222242.52244,3225429.287,3984780487.02147
2021-01-22,1111.82,1274.52,1041.13,1234.55,5475223.381,6400413550.76259,2678746.661,3132019760.24392
2021-01-23,1234.54,1274.0,1197.0,1235.66,2920417.541,3621490157.81458,1422281.665,1764218917.94195
2021-01-24,1235.65,1401.88,1221.51,1394.24,3768553.334,4990725961.73751,1895960.818,2510843703.70461
2021-01-25,1394.23,1481.46,1293.0,1318.61,5138109.254,7203921848.3719,2446042.654,3432045420.66001
