date,amount,price,sid,symbol,value
2021-01-28 23:59:59.999989+00:00,-0.5,30445.525390625,0,BTC,15222.7626953125
2021-01-31 23:59:59.999989+00:00,0.5,34199.51953125,0,BTC,-17099.759765625
2021-02-01 23:59:59.999989+00:00,-0.5,33064.78515625,0,BTC,16532.392578125
2021-02-03 23:59:59.999989+00:00,0.5,35485.984375,0,BTC,-17742.9921875
2021-04-23 23:59:59.999989+00:00,-0.5,51965.56640625,0,BTC,25982.783203125
2021-05-09 23:59:59.999989+00:00,0.5,58771.8828125,0,BTC,-29385.94140625
2021-05-13 23:59:59.999989+00:00,-0.5,50004.76171875,0,BTC,25002.380859375
2021-07-28 23:59:59.999989+00:00,0.5,38304.02,0,BTC,-19152.01
2021-09-22 23:59:59.999989+00:00,-0.5,41509.67,0,BTC,20754.835
2021-10-05 23:59:59.999989+00:00,0.5,48957.93,0,BTC,-24478.965
2021-11-23 23:59:59.999989+00:00,-0.5,56296.28,0,BTC,28148.14
2022-02-11 23:59:59.999989+00:00,0.5,43884.77,0,BTC,-21942.385
2022-02-21 23:59:59.999989+00:00,-0.5,38407.24,0,BTC,19203.62
2022-03-03 23:59:59.999989+00:00,0.5,44149.13,0,BTC,-22074.565
2022-03-07 23:59:59.999989+00:00,-0.5,38948.41,0,BTC,19474.205
2022-03-20 23:59:59.999989+00:00,0.5,41789.34,0,BTC,-20894.67
2022-04-13 23:59:59.999989+00:00,-0.5,39694.95,0,BTC,19847.475
